class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,phenol_ratio,alcohol_color_ratio,alcohol_proline_ratio,color_hue_product,flavanoid_proline
2,13.17,5.19,2.32,22.0,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,0.3620687574317486,1.667088396571089,0.018165517216323424,4.74,456.75
2,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,0.4611108549384139,1.5360708617013474,0.02883333327326389,5.135699999999999,398.4
2,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,0.30526299723000144,1.659999778666696,0.01414772725665031,5.025,510.4
2,14.34,1.68,2.7,25.0,98,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660,0.46785697576536583,1.1030768382248586,0.021727272694352616,7.409999999999999,864.6
2,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,0.4230767603550922,1.14723394491626,0.02174193544880333,6.6975,682.0
2,12.36,3.83,2.38,21.0,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,0.39999982608703216,1.615686063309011,0.023769230723520707,4.284000000000001,478.40000000000003
2,13.69,3.26,2.54,20.0,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,0.30601076174275316,2.328230896559371,0.02013235291157007,5.6448,380.8
2,12.85,3.27,2.58,22.0,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,0.3636361432508223,2.302866970812371,0.022543859609572177,4.8546000000000005,342.0
2,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,0.503596760002331,2.4545449896695093,0.019199999971555557,3.5904000000000003,472.49999999999994
2,13.78,2.76,2.3,22.0,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,0.5037033305901255,1.4384132110215855,0.022406504028607308,6.7059999999999995,418.20000000000005
2,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,0.36718721313498975,2.074017813592475,0.026403846103069527,5.163600000000001,244.39999999999998
2,13.45,3.7,2.6,23.0,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,0.5411761522493223,1.2593631779622494,0.01935251795776616,9.078,639.4
2,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,0.44594564463132125,1.2495125487804535,0.018715328439831636,7.3872,452.1
2,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,0.5419351342353973,1.5681291491767728,0.018106666642524444,6.4084,630.0
2,13.4,4.6,2.86,25.0,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,0.48484823997563636,1.5764704027681882,0.02126984123607962,5.695,604.8
2,12.2,3.03,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,0.3919996864002509,2.2181814148761063,0.023921568580545942,3.6300000000000003,249.9
2,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,0.3669062108588412,1.28989898989899,0.027170212708148483,5.642999429999999,239.70000000000002
2,14.16,2.51,2.48,20.0,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,0.4166664186509413,1.4597936639387978,0.02145454542203857,6.013999999999999,461.99999999999994
2,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,0.36309502196724885,1.7805192492832145,0.018527027001990506,4.928,451.4
2,13.4,3.91,2.48,23.0,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,0.4166664351853138,1.8356161869018923,0.017866666642844444,5.109999999999999,562.5
2,13.27,4.28,2.26,20.0,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,0.4339619912188734,1.3009802646097781,0.015892215549829683,6.017999999999999,576.15
2,13.17,2.59,2.37,20.0,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,0.412120962350932,1.416128879986142,0.01567857140990646,5.58,571.2
2,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,0.37073152647242613,1.5358693982750657,0.02523214281208546,5.611999999999999,425.6
